FID,FLU,FLUDESC,FLUSHRTDEC,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
393,4,Medium Density Multifamily Residential,Med D. MF Res.,94.1748352051,243.294228518,10.8359375,82.3552258206254
394,8,Restricted Commercial,Restricted Com.,412155.812469,3090.64663918,47383.451171875,1048.66633530908
395,4,Medium Density Multifamily Residential,Med D. MF Res.,2579451.58981,7959.59085403,296782.787109375,2698.09569239237
396,9,General Commercial,General Com.,8065.48779297,425.210795463,928.328125,144.461321078923
397,8,Restricted Commercial,Restricted Com.,156510.546509,2251.35024156,18014.40625,762.373736167345
398,9,General Commercial,General Com.,293139.810547,2917.07998598,33744.845703125,991.258281644146
399,5,High Density Multifamily Residential,High D. MF Res.,82310.7645569,1156.40457539,9470.400390625,392.121150074762
400,2,Duplex - Residential,Duplex Res.,217731.708496,2452.6059033,25063.880859375,830.879072831317
401,13,Industrial,Industrial,259805.560059,2383.99263983,29895.140625,808.486757338525
402,8,Restricted Commercial,Restricted Com.,55982.7018127,1002.39874105,6443.86328125,340.394281318098
403,2,Duplex - Residential,Duplex Res.,2620674.31094,9085.86798299,301650.484375,3081.66393251571
404,9,General Commercial,General Com.,243735.480469,2062.97107118,28045.705078125,700.347392266258
405,2,Duplex - Residential,Duplex Res.,4837671.01419,14457.9793259,556611.205078125,4902.62242537239
406,8,Restricted Commercial,Restricted Com.,468838.449585,4180.92746506,53960.86328125,1418.38184391909
407,4,Medium Density Multifamily Residential,Med D. MF Res.,3080361.63815,8916.87115335,354523.013671875,3022.88749704148
408,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",587365.684296,4143.17053352,67516.02734375,1403.43785147176
409,2,Duplex - Residential,Duplex Res.,4565000.55951,14445.3458456,525280.9296875,4898.75266367035
410,13,Industrial,Industrial,517934.76236,3637.98224229,59602.74609375,1235.42596679343
411,4,Medium Density Multifamily Residential,Med D. MF Res.,418663.35318,3124.83990483,48155.30078125,1059.64758232571
412,2,Duplex - Residential,Duplex Res.,1633607.7291,7729.58322354,187894.25,2619.50081101038
413,8,Restricted Commercial,Restricted Com.,1291510.98325,11555.8213287,148571.970703125,3915.95914868183
414,9,General Commercial,General Com.,69267.227417,1345.48190154,7972.91015625,457.201627890111
415,9,General Commercial,General Com.,219647.31424,3513.94517877,25282.052734375,1194.88281712495
416,13,Industrial,Industrial,925257.771973,9225.10811704,106447.685546875,3127.3046784211
417,5,High Density Multifamily Residential,High D. MF Res.,912781.170227,5070.20999842,105009.265625,1718.59340743253
418,8,Restricted Commercial,Restricted Com.,69872.65979,1138.40041441,8038.4375,386.262656568485
419,4,Medium Density Multifamily Residential,Med D. MF Res.,188378.660187,2333.32649014,21699.181640625,793.282784665404
420,1,Single Family - Residential,Single Fam. Res,1091899.13086,4266.7239816,125774.896484375,1448.33766982393
421,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",5370227.76648,13016.5045368,617476.552734375,4413.73280996448
422,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",315790.376099,2769.54715995,36307.591796875,938.751196941793
423,8,Restricted Commercial,Restricted Com.,1487895.15747,9708.34863592,171102.84765625,3287.97520194151
424,8,Restricted Commercial,Restricted Com.,66869.3400269,1032.45039347,7694.787109375,350.220548510814
425,5,High Density Multifamily Residential,High D. MF Res.,3764456.88602,13097.1155782,432910.40625,4439.66269658611
426,1,Single Family - Residential,Single Fam. Res,61043.213623,1223.61998016,7019.751953125,414.820938888485
427,4,Medium Density Multifamily Residential,Med D. MF Res.,36402.1940918,789.127378069,4186.08203125,267.624416470891
428,8,Restricted Commercial,Restricted Com.,1743377.55936,11361.3814573,200531.763671875,3847.79081426981
429,9,General Commercial,General Com.,4551471.26886,30065.3118871,523908.83203125,10190.7258004414
430,4,Medium Density Multifamily Residential,Med D. MF Res.,124644.402618,2095.21445003,14355.859375,712.480516182661
431,4,Medium Density Multifamily Residential,Med D. MF Res.,38022.3591614,834.869189797,4379.03515625,283.60242058052
432,9,General Commercial,General Com.,74473.694397,1117.83807517,8569.271484375,379.371638829989
433,2,Duplex - Residential,Duplex Res.,1013170.54114,9930.88120508,116465.01953125,3361.54992181592
434,14,Public Parks and Recreation,Recreation,276685.265137,2590.30429962,31836.396484375,879.384800955739
435,11,"Major Inst, Public Facilities, Transp And","Major PUB, FAC",988601.170959,4286.36214567,113765.8125,1453.18470319336
436,8,Restricted Commercial,Restricted Com.,27257.7476196,679.611370517,3138.78125,230.475476250827
437,4,Medium Density Multifamily Residential,Med D. MF Res.,1595683.77579,6034.39589333,183536.427734375,2043.53483406585
438,8,Restricted Commercial,Restricted Com.,1734465.4061,9255.15693883,199589.4765625,3140.79628753724
439,8,Restricted Commercial,Restricted Com.,297632.517456,2822.80779135,34254.630859375,958.026691463978
440,14,Public Parks and Recreation,Recreation,51303.6487732,1094.73990356,5908.390625,371.260614382748
441,7,Medium Density Restricted Commercial,Med D. Rest Com,1601537.7034,5914.57992325,184474.87890625,2008.48487601874
442,12,Light Industrial,Light Industria,339781.848358,2715.36912825,39133.314453125,921.484142915028
443,12,Light Industrial,Light Industria,2604624.57272,9991.72360827,299970.392578125,3383.99702793793
444,14,Public Parks and Recreation,Recreation,544471.200836,3582.35634789,62698.607421875,1215.11032794547
445,12,Light Industrial,Light Industria,854308.516174,8942.73472259,98378.974609375,3035.6817509055
446,12,Light Industrial,Light Industria,243815.418365,2453.31831285,28058.96875,833.124090600581
447,8,Restricted Commercial,Restricted Com.,5003580.35931,13884.7984296,575898.1171875,4716.79509428976
448,8,Restricted Commercial,Restricted Com.,265714.770752,2351.22721934,30566.64453125,796.450253614612
449,12,Light Industrial,Light Industria,504261.940033,5011.79893713,58024.892578125,1700.91823353664
450,12,Light Industrial,Light Industria,443885.062866,3550.51515452,51076.798828125,1206.08630391416
451,12,Light Industrial,Light Industria,444021.316864,5492.43932725,51084.263671875,1863.68193325307
452,12,Light Industrial,Light Industria,272626.473358,2997.41098736,31368.76953125,1015.05063048987
453,8,Restricted Commercial,Restricted Com.,503810.409637,3831.4513274,57958.619140625,1300.60304689958
454,8,Restricted Commercial,Restricted Com.,1966326.32047,6263.51861837,226179.34765625,2125.78442079605
455,14,Public Parks and Recreation,Recreation,110773.798798,1491.9970841,12742.380859375,505.356867801219
456,6,Low Density Restricted Commercial,Low D. Rest Com,175922.503998,2297.26284057,20263.81640625,778.211328180343
457,7,Medium Density Restricted Commercial,Med D. Rest Com,303826.089417,4941.75227044,34989.546875,1672.9612767723
458,7,Medium Density Restricted Commercial,Med D. Rest Com,114700.114594,1581.6161286,13206.58984375,537.085558320834
